Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,17.260000,17.260000,17.260000,17.260000,16.914635,0
2022-06-02,18.010000,18.010000,18.010000,18.010000,17.649628,0
2022-06-03,17.490000,17.490000,17.490000,17.490000,17.140032,0
2022-06-06,17.510000,17.510000,17.510000,17.510000,17.159634,0
2022-06-07,17.660000,17.660000,17.660000,17.660000,17.306631,0
2022-06-08,17.290001,17.290001,17.290001,17.290001,16.944036,0
2022-06-09,16.900000,16.900000,16.900000,16.900000,16.561838,0
2022-06-10,16.219999,16.219999,16.219999,16.219999,15.895444,0
2022-06-13,15.200000,15.200000,15.200000,15.200000,14.895855,0
2022-06-14,15.280000,15.280000,15.280000,15.280000,14.974254,0
2022-06-15,15.620000,15.620000,15.620000,15.620000,15.307451,0
2022-06-16,14.610000,14.610000,14.610000,14.610000,14.317660,0
2022-06-17,14.720000,14.720000,14.720000,14.720000,14.425460,0
2022-06-21,15.090000,15.090000,15.090000,15.090000,14.788056,0
2022-06-22,14.910000,14.910000,14.910000,14.910000,14.611657,0
2022-06-23,14.790000,14.790000,14.790000,14.790000,14.494059,0
2022-06-24,15.450000,15.450000,15.450000,15.450000,15.140853,0
2022-06-27,15.390000,15.390000,15.390000,15.390000,15.082053,0
2022-06-28,14.880000,14.880000,14.880000,14.880000,14.582258,0
2022-06-29,14.530000,14.530000,14.530000,14.530000,14.239261,0
2022-06-30,14.280000,14.280000,14.280000,14.280000,13.994264,0
2022-07-01,13.770000,13.770000,13.770000,13.770000,13.494469,0
2022-07-05,13.930000,13.930000,13.930000,13.930000,13.651267,0
2022-07-06,14.040000,14.040000,14.040000,14.040000,13.759066,0
2022-07-07,14.740000,14.740000,14.740000,14.740000,14.445059,0
2022-07-08,14.870000,14.870000,14.870000,14.870000,14.572458,0
2022-07-11,14.460000,14.460000,14.460000,14.460000,14.170662,0
2022-07-12,14.430000,14.430000,14.430000,14.430000,14.141263,0
2022-07-13,14.540000,14.540000,14.540000,14.540000,14.249062,0
2022-07-14,14.860000,14.860000,14.860000,14.860000,14.562658,0
2022-07-15,15.240000,15.240000,15.240000,15.240000,14.935055,0
2022-07-18,15.200000,15.200000,15.200000,15.200000,14.895855,0
2022-07-19,15.990000,15.990000,15.990000,15.990000,15.670048,0
2022-07-20,16.490000,16.490000,16.490000,16.490000,16.160044,0
2022-07-21,16.750000,16.750000,16.750000,16.750000,16.414839,0
2022-07-22,16.270000,16.270000,16.270000,16.270000,15.944446,0
2022-07-25,16.110001,16.110001,16.110001,16.110001,15.787647,0
2022-07-26,15.860000,15.860000,15.860000,15.860000,15.542648,0
